raceId,driverId,milliseconds,time,lap,year,driver
841,20,98109,1:38.109,1,2011,Sebastian Vettel
841,20,93006,1:33.006,2,2011,Sebastian Vettel
841,20,92713,1:32.713,3,2011,Sebastian Vettel
841,20,92803,1:32.803,4,2011,Sebastian Vettel
841,20,92342,1:32.342,5,2011,Sebastian Vettel
841,20,92605,1:32.605,6,2011,Sebastian Vettel
841,20,92502,1:32.502,7,2011,Sebastian Vettel
841,20,92537,1:32.537,8,2011,Sebastian Vettel
841,20,93240,1:33.240,9,2011,Sebastian Vettel
841,20,92572,1:32.572,10,2011,Sebastian Vettel
841,20,92669,1:32.669,11,2011,Sebastian Vettel
841,20,92902,1:32.902,12,2011,Sebastian Vettel
841,20,93698,1:33.698,13,2011,Sebastian Vettel
841,20,112075,1:52.075,14,2011,Sebastian Vettel
841,20,98385,1:38.385,15,2011,Sebastian Vettel
841,20,91548,1:31.548,16,2011,Sebastian Vettel
841,20,90800,1:30.800,17,2011,Sebastian Vettel
841,20,91810,1:31.810,18,2011,Sebastian Vettel
841,20,91018,1:31.018,19,2011,Sebastian Vettel
841,20,91055,1:31.055,20,2011,Sebastian Vettel
841,20,91288,1:31.288,21,2011,Sebastian Vettel
841,20,91084,1:31.084,22,2011,Sebastian Vettel
841,20,90875,1:30.875,23,2011,Sebastian Vettel
841,20,92240,1:32.240,24,2011,Sebastian Vettel
841,20,91699,1:31.699,25,2011,Sebastian Vettel
841,20,91328,1:31.328,26,2011,Sebastian Vettel
841,20,91568,1:31.568,27,2011,Sebastian Vettel
841,20,91113,1:31.113,28,2011,Sebastian Vettel
841,20,91339,1:31.339,29,2011,Sebastian Vettel
841,20,91054,1:31.054,30,2011,Sebastian Vettel
841,20,91707,1:31.707,31,2011,Sebastian Vettel
841,20,91611,1:31.611,32,2011,Sebastian Vettel
841,20,91406,1:31.406,33,2011,Sebastian Vettel
841,20,91871,1:31.871,34,2011,Sebastian Vettel
841,20,92597,1:32.597,35,2011,Sebastian Vettel
841,20,113737,1:53.737,36,2011,Sebastian Vettel
841,20,99321,1:39.321,37,2011,Sebastian Vettel
841,20,93632,1:33.632,38,2011,Sebastian Vettel
841,20,91005,1:31.005,39,2011,Sebastian Vettel
841,20,90530,1:30.530,40,2011,Sebastian Vettel
841,20,90140,1:30.140,41,2011,Sebastian Vettel
841,20,90419,1:30.419,42,2011,Sebastian Vettel
841,20,90503,1:30.503,43,2011,Sebastian Vettel
841,20,89844,1:29.844,44,2011,Sebastian Vettel
841,20,90470,1:30.470,45,2011,Sebastian Vettel
841,20,90669,1:30.669,46,2011,Sebastian Vettel
841,20,90297,1:30.297,47,2011,Sebastian Vettel
841,20,90471,1:30.471,48,2011,Sebastian Vettel
841,20,90710,1:30.710,49,2011,Sebastian Vettel
841,20,90732,1:30.732,50,2011,Sebastian Vettel
841,20,90873,1:30.873,51,2011,Sebastian Vettel
841,20,91087,1:31.087,52,2011,Sebastian Vettel
841,20,90671,1:30.671,53,2011,Sebastian Vettel
841,20,90656,1:30.656,54,2011,Sebastian Vettel
841,20,90899,1:30.899,55,2011,Sebastian Vettel
841,20,89962,1:29.962,56,2011,Sebastian Vettel
841,20,90516,1:30.516,57,2011,Sebastian Vettel
841,20,91946,1:31.946,58,2011,Sebastian Vettel
842,20,109614,1:49.614,1,2011,Sebastian Vettel
842,20,104539,1:44.539,2,2011,Sebastian Vettel
842,20,104209,1:44.209,3,2011,Sebastian Vettel
842,20,104369,1:44.369,4,2011,Sebastian Vettel
842,20,104378,1:44.378,5,2011,Sebastian Vettel
842,20,104265,1:44.265,6,2011,Sebastian Vettel
842,20,104541,1:44.541,7,2011,Sebastian Vettel
842,20,104568,1:44.568,8,2011,Sebastian Vettel
842,20,104782,1:44.782,9,2011,Sebastian Vettel
842,20,104945,1:44.945,10,2011,Sebastian Vettel
842,20,105798,1:45.798,11,2011,Sebastian Vettel
842,20,106893,1:46.893,12,2011,Sebastian Vettel
842,20,110561,1:50.561,13,2011,Sebastian Vettel
842,20,125241,2:05.241,14,2011,Sebastian Vettel
842,20,105211,1:45.211,15,2011,Sebastian Vettel
842,20,105360,1:45.360,16,2011,Sebastian Vettel
842,20,104026,1:44.026,17,2011,Sebastian Vettel
842,20,103993,1:43.993,18,2011,Sebastian Vettel
842,20,103450,1:43.450,19,2011,Sebastian Vettel
842,20,103393,1:43.393,20,2011,Sebastian Vettel
842,20,103520,1:43.520,21,2011,Sebastian Vettel
842,20,103500,1:43.500,22,2011,Sebastian Vettel
842,20,103447,1:43.447,23,2011,Sebastian Vettel
842,20,103435,1:43.435,24,2011,Sebastian Vettel
