raceId,year,name,retired,completed,reason,frequency_counts,retired_percentage
1,2009,Australian Grand Prix,9,11,"['+1 Lap', 'Collision', 'Collision', 'Collision', 'Differential', 'Suspension', 'Spun off', 'Accident', 'Disqualified']","{'+1 Lap': 1, 'Collision': 3, 'Differential': 1, 'Suspension': 1, 'Spun off': 1, 'Accident': 1, 'Disqualified': 1}",0.45
2,2009,Malaysian Grand Prix,10,10,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Spun off', 'Spun off', 'Spun off', 'Engine']","{'+1 Lap': 5, 'Spun off': 4, 'Engine': 1}",0.5
3,2009,Chinese Grand Prix,7,13,"['+1 Lap', '+1 Lap', 'Collision', 'Spun off', '+2 Laps', 'Retired', 'Electronics']","{'+1 Lap': 2, 'Collision': 1, 'Spun off': 1, '+2 Laps': 1, 'Retired': 1, 'Electronics': 1}",0.35
4,2009,Bahrain Grand Prix,7,13,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Oil pressure']","{'+1 Lap': 6, 'Oil pressure': 1}",0.35
5,2009,Spanish Grand Prix,12,8,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Collision', 'Collision', 'Hydraulics', 'Gearbox']","{'+1 Lap': 6, 'Collision': 4, 'Hydraulics': 1, 'Gearbox': 1}",0.6
6,2009,Monaco Grand Prix,11,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Accident', 'Accident', 'Accident', 'Brakes']","{'+1 Lap': 5, 'Collision': 2, 'Accident': 3, 'Brakes': 1}",0.55
7,2009,Turkish Grand Prix,7,13,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Gearbox', 'Brakes']","{'+1 Lap': 5, 'Gearbox': 1, 'Brakes': 1}",0.35
8,2009,British Grand Prix,9,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision']","{'+1 Lap': 7, 'Collision': 2}",0.45
9,2009,German Grand Prix,3,17,"['+1 Lap', 'Engine', 'Hydraulics']","{'+1 Lap': 1, 'Engine': 1, 'Hydraulics': 1}",0.15
10,2009,Hungarian Grand Prix,7,13,"['+1 Lap', '+1 Lap', '+1 Lap', 'Suspension', 'Wheel', 'Overheating', 'Withdrew']","{'+1 Lap': 3, 'Suspension': 1, 'Wheel': 1, 'Overheating': 1, 'Withdrew': 1}",0.35
11,2009,European Grand Prix,5,15,"['+1 Lap', '+1 Lap', 'Engine', 'Brakes', '+3 Laps']","{'+1 Lap': 2, 'Engine': 1, 'Brakes': 1, '+3 Laps': 1}",0.25
12,2009,Belgian Grand Prix,6,14,"['Collision', 'Collision', 'Collision', 'Collision', 'Retired', 'Brakes']","{'Collision': 4, 'Retired': 1, 'Brakes': 1}",0.3
13,2009,Italian Grand Prix,9,11,"['+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Accident', '+2 Laps', 'Retired', 'Transmission', 'Oil leak']","{'+1 Lap': 3, 'Collision': 1, 'Accident': 1, '+2 Laps': 1, 'Retired': 1, 'Transmission': 1, 'Oil leak': 1}",0.45
14,2009,Singapore Grand Prix,6,14,"['Collision', 'Collision', 'Gearbox', 'Brakes', 'Brakes', 'Brakes']","{'Collision': 2, 'Gearbox': 1, 'Brakes': 3}",0.3
15,2009,Japanese Grand Prix,5,15,"['+1 Lap', 'Accident', '+2 Laps', 'Clutch', 'Injured']","{'+1 Lap': 1, 'Accident': 1, '+2 Laps': 1, 'Clutch': 1, 'Injured': 1}",0.25
16,2009,Brazilian Grand Prix,8,12,"['+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', 'Accident', 'Gearbox', 'Out of fuel']","{'+1 Lap': 2, 'Accident': 4, 'Gearbox': 1, 'Out of fuel': 1}",0.4
17,2009,Abu Dhabi Grand Prix,5,15,"['+1 Lap', '+1 Lap', '+1 Lap', 'Gearbox', 'Brakes']","{'+1 Lap': 3, 'Gearbox': 1, 'Brakes': 1}",0.25
18,2008,Australian Grand Prix,17,5,"['+1 Lap', 'Collision', 'Collision', 'Collision', 'Collision', 'Collision', 'Collision', 'Collision', 'Accident', 'Disqualified', 'Engine', 'Engine', 'Engine', 'Hydraulics', 'Transmission', 'Clutch', 'Electrical']","{'+1 Lap': 1, 'Collision': 7, 'Accident': 1, 'Disqualified': 1, 'Engine': 3, 'Hydraulics': 1, 'Transmission': 1, 'Clutch': 1, 'Electrical': 1}",0.7727272727272727
19,2008,Malaysian Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Spun off', 'Spun off', 'Engine', '+2 Laps', '+2 Laps', 'Hydraulics']","{'+1 Lap': 4, 'Collision': 1, 'Spun off': 2, 'Engine': 1, '+2 Laps': 2, 'Hydraulics': 1}",0.5
20,2008,Bahrain Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Engine', '+2 Laps', 'Gearbox']","{'+1 Lap': 7, 'Collision': 1, 'Engine': 1, '+2 Laps': 1, 'Gearbox': 1}",0.5
21,2008,Spanish Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Collision', 'Collision', 'Collision', 'Accident', 'Engine', 'Engine', 'Radiator']","{'+1 Lap': 4, 'Collision': 5, 'Accident': 1, 'Engine': 2, 'Radiator': 1}",0.5909090909090909
22,2008,Turkish Grand Prix,10,10,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Suspension']","{'+1 Lap': 7, 'Collision': 2, 'Suspension': 1}",0.5
23,2008,Monaco Grand Prix,11,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Accident', 'Accident', 'Accident', 'Gearbox', '+4 Laps']","{'+1 Lap': 4, 'Collision': 2, 'Accident': 3, 'Gearbox': 1, '+4 Laps': 1}",0.55
24,2008,Canadian Grand Prix,8,12,"['+1 Lap', 'Collision', 'Collision', 'Spun off', 'Spun off', 'Accident', 'Gearbox', 'Brakes']","{'+1 Lap': 1, 'Collision': 2, 'Spun off': 2, 'Accident': 1, 'Gearbox': 1, 'Brakes': 1}",0.4
25,2008,French Grand Prix,7,13,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision']","{'+1 Lap': 6, 'Collision': 1}",0.35
26,2008,British Grand Prix,17,3,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Spun off', 'Spun off', 'Spun off', 'Spun off', 'Spun off', '+2 Laps']","{'+1 Lap': 9, 'Collision': 2, 'Spun off': 5, '+2 Laps': 1}",0.85
27,2008,German Grand Prix,4,16,"['+1 Lap', 'Collision', 'Suspension', 'Engine']","{'+1 Lap': 1, 'Collision': 1, 'Suspension': 1, 'Engine': 1}",0.2
28,2008,Hungarian Grand Prix,9,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Engine', '+2 Laps', 'Brakes', 'Overheating', '+3 Laps']","{'+1 Lap': 4, 'Engine': 1, '+2 Laps': 1, 'Brakes': 1, 'Overheating': 1, '+3 Laps': 1}",0.45
29,2008,European Grand Prix,9,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Accident', 'Engine']","{'+1 Lap': 6, 'Collision': 1, 'Accident': 1, 'Engine': 1}",0.45
30,2008,Belgian Grand Prix,11,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Spun off', 'Gearbox', 'Gearbox']","{'+1 Lap': 7, 'Spun off': 2, 'Gearbox': 2}",0.55
31,2008,Italian Grand Prix,5,15,"['+1 Lap', '+1 Lap', '+1 Lap', 'Accident', '+2 Laps']","{'+1 Lap': 3, 'Accident': 1, '+2 Laps': 1}",0.25
32,2008,Singapore Grand Prix,6,14,"['Accident', 'Accident', 'Accident', 'Hydraulics', 'Transmission', 'Mechanical']","{'Accident': 3, 'Hydraulics': 1, 'Transmission': 1, 'Mechanical': 1}",0.3
33,2008,Japanese Grand Prix,8,12,"['+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Engine', 'Gearbox', 'Tyre', 'Driver Seat']","{'+1 Lap': 3, 'Collision': 1, 'Engine': 1, 'Gearbox': 1, 'Tyre': 1, 'Driver Seat': 1}",0.4
34,2008,Chinese Grand Prix,6,14,"['+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Engine', 'Hydraulics']","{'+1 Lap': 3, 'Collision': 1, 'Engine': 1, 'Hydraulics': 1}",0.3
35,2008,Brazilian Grand Prix,11,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Accident', '+2 Laps', '+2 Laps', '+2 Laps']","{'+1 Lap': 6, 'Collision': 1, 'Accident': 1, '+2 Laps': 3}",0.55
36,2007,Australian Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Accident', '+2 Laps', '+2 Laps', 'Gearbox', 'Puncture']","{'+1 Lap': 9, 'Collision': 2, 'Accident': 1, '+2 Laps': 2, 'Gearbox': 1, 'Puncture': 1}",0.7272727272727273
37,2007,Malaysian Grand Prix,12,10,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Engine', 'Hydraulics', 'Brakes']","{'+1 Lap': 8, 'Collision': 1, 'Engine': 1, 'Hydraulics': 1, 'Brakes': 1}",0.5454545454545454
38,2007,Bahrain Grand Prix,12,10,"['+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Engine', 'Engine', '+2 Laps', 'Hydraulics', 'Gearbox', '+4 Laps', 'Driveshaft']","{'+1 Lap': 3, 'Collision': 2, 'Engine': 2, '+2 Laps': 1, 'Hydraulics': 1, 'Gearbox': 1, '+4 Laps': 1, 'Driveshaft': 1}",0.5454545454545454
39,2007,Spanish Grand Prix,15,7,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Suspension', 'Suspension', '+2 Laps', '+2 Laps', 'Retired', 'Hydraulics', 'Gearbox', 'Tyre', 'Fuel pressure']","{'+1 Lap': 5, 'Collision': 1, 'Suspension': 2, '+2 Laps': 2, 'Retired': 1, 'Hydraulics': 1, 'Gearbox': 1, 'Tyre': 1, 'Fuel pressure': 1}",0.6818181818181818
40,2007,Monaco Grand Prix,19,3,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Engine', '+2 Laps', '+2 Laps', '+2 Laps', '+2 Laps', '+2 Laps', 'Gearbox', 'Driveshaft']","{'+1 Lap': 9, 'Accident': 2, 'Engine': 1, '+2 Laps': 5, 'Gearbox': 1, 'Driveshaft': 1}",0.8636363636363636
41,2007,Canadian Grand Prix,10,12,"['Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Disqualified', 'Disqualified', 'Gearbox', 'Gearbox', 'Front wing']","{'Accident': 5, 'Disqualified': 2, 'Gearbox': 2, 'Front wing': 1}",0.45454545454545453
42,2007,United States Grand Prix,14,8,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Collision', 'Spun off', 'Engine', '+2 Laps', '+2 Laps', '+3 Laps', 'Transmission', 'Water pressure']","{'+1 Lap': 4, 'Collision': 3, 'Spun off': 1, 'Engine': 1, '+2 Laps': 2, '+3 Laps': 1, 'Transmission': 1, 'Water pressure': 1}",0.6363636363636364
43,2007,French Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Collision', '+2 Laps', '+2 Laps', 'Gearbox', 'Refuelling']","{'+1 Lap': 6, 'Collision': 3, '+2 Laps': 2, 'Gearbox': 1, 'Refuelling': 1}",0.5909090909090909
44,2007,British Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Engine', '+2 Laps', '+2 Laps', 'Retired', 'Hydraulics', 'Gearbox', 'Wheel', 'Mechanical']","{'+1 Lap': 7, 'Accident': 1, 'Engine': 1, '+2 Laps': 2, 'Retired': 1, 'Hydraulics': 1, 'Gearbox': 1, 'Wheel': 1, 'Mechanical': 1}",0.7272727272727273
45,2007,European Grand Prix,15,7,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Spun off', 'Spun off', 'Spun off', 'Spun off', 'Spun off', 'Retired', 'Hydraulics', 'Hydraulics']","{'+1 Lap': 6, 'Collision': 1, 'Spun off': 5, 'Retired': 1, 'Hydraulics': 2}",0.6818181818181818
46,2007,Hungarian Grand Prix,13,9,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', '+2 Laps', '+2 Laps', 'Electrical', 'Throttle']","{'+1 Lap': 7, 'Accident': 2, '+2 Laps': 2, 'Electrical': 1, 'Throttle': 1}",0.5909090909090909
47,2007,Turkish Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+2 Laps', 'Hydraulics', 'Fuel pressure']","{'+1 Lap': 8, '+2 Laps': 1, 'Hydraulics': 1, 'Fuel pressure': 1}",0.5
48,2007,Italian Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Suspension', 'Accident']","{'+1 Lap': 9, 'Suspension': 1, 'Accident': 1}",0.5
