raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
1,2009,Australia,1,Australian Grand Prix,Albert Park Grand Prix Circuit,-37.8497,144.968,5655784,2009-03-29 06:00:00,2009-03-29,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,20.81,0.0,6.7,180.0,Clear,Clear,clear sky,,Clear,58,58
2,2009,Malaysia,2,Malaysian Grand Prix,Sepang International Circuit,2.76083,101.738,4252092,2009-04-05 09:00:00,2009-04-05,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,28.15,75.0,1.0,290.0,Rain,Rain,light rain,0.86,Rain,56,31
3,2009,China,17,Chinese Grand Prix,Shanghai International Circuit,31.3389,121.22,7063485,2009-04-19 07:00:00,2009-04-19,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,19.79,100.0,10.0,140.0,Rain,Rain,moderate rain,1.34,Rain,56,56
4,2009,Bahrain,3,Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106,5508182,2009-04-26 12:00:00,2009-04-26,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,28.76,14.0,5.01,100.0,Clouds,Clouds,few clouds,,Clouds,57,57
5,2009,Spain,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,41.57,2.26111,5839202,2009-05-10 12:00:00,2009-05-10,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,20.27,20.0,4.1,130.0,Clouds,Clouds,few clouds,,Clouds,66,66
6,2009,Monaco,6,Monaco Grand Prix,Circuit de Monaco,43.7347,7.42056,6044282,2009-05-24 12:00:00,2009-05-24,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,22.88,20.0,3.1,110.0,Clear,Clouds,few clouds,,Clouds,78,78
7,2009,Turkey,5,Turkish Grand Prix,Istanbul Park,40.9517,29.405,5184848,2009-06-07 12:00:00,2009-06-07,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,28.41,0.0,3.1,210.0,Clear,Clear,clear sky,,Clear,58,58
8,2009,England,9,British Grand Prix,Silverstone Circuit,52.0786,-1.01694,4969328,2009-06-21 12:00:00,2009-06-21,http://en.wikipedia.org/wiki/2009_British_Grand_Prix,16.8,99.0,3.46,316.0,Clouds,Clouds,overcast clouds,,Clouds,60,60
9,2009,Germany,20,German Grand Prix,Nürburgring,50.3356,6.9475,5803310,2009-07-12 12:00:00,2009-07-12,http://en.wikipedia.org/wiki/2009_German_Grand_Prix,16.95,75.0,4.6,200.0,Clouds,Clouds,broken clouds,,Clouds,60,60
10,2009,Hungary,11,Hungarian Grand Prix,Hungaroring,47.5789,19.2486,5903876,2009-07-26 12:00:00,2009-07-26,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,24.51,0.0,9.3,300.0,Clear,Clear,clear sky,,Clear,70,70
11,2009,Spain,12,European Grand Prix,Valencia Street Circuit,39.4589,-0.331667,5751289,2009-08-23 12:00:00,2009-08-23,http://en.wikipedia.org/wiki/2009_European_Grand_Prix,31.33,0.0,4.1,130.0,Clear,Clear,clear sky,,Clear,57,57
12,2009,Belgium,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,50.4372,5.97139,5030995,2009-08-30 12:00:00,2009-08-30,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,16.14,40.0,4.0,270.0,Clouds,Clouds,scattered clouds,,Clouds,44,44
13,2009,Italy,14,Italian Grand Prix,Autodromo Nazionale di Monza,45.6156,9.28111,4581706,2009-09-13 12:00:00,2009-09-13,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,25.68,20.0,1.0,290.0,Clear,Clouds,few clouds,,Clouds,53,53
14,2009,Singapore,15,Singapore Grand Prix,Marina Bay Street Circuit,1.2914,103.864,6966337,2009-09-27 12:00:00,2009-09-27,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix,30.94,75.0,2.1,220.0,Clouds,Haze,haze,,Clouds,61,61
15,2009,Japan,22,Japanese Grand Prix,Suzuka Circuit,34.8431,136.541,5300443,2009-10-04 05:00:00,2009-10-04,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,25.88,0.0,3.6,120.0,Clear,Clear,clear sky,,Clear,53,53
16,2009,Brazil,18,Brazilian Grand Prix,Autódromo José Carlos Pace,-23.7036,-46.6997,5543081,2009-10-18 16:00:00,2009-10-18,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix,25.75,75.0,4.1,300.0,Rain,Rain,moderate rain,1.05,Rain,71,71
17,2009,United Arab Emirates,24,Abu Dhabi Grand Prix,Yas Marina Circuit,24.4672,54.6031,5643414,2009-11-01 11:00:00,2009-11-01,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,34.46,0.0,6.2,310.0,Clear,Clear,clear sky,,Clear,55,55
18,2008,Australia,1,Australian Grand Prix,Albert Park Grand Prix Circuit,-37.8497,144.968,5690616,2008-03-16 04:30:00,2008-03-16,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,38.31,20.0,7.7,360.0,Haze,Haze,haze,,Clouds,58,58
19,2008,Malaysia,2,Malaysian Grand Prix,Sepang International Circuit,2.76083,101.738,5478555,2008-03-23 07:00:00,2008-03-23,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,30.08,75.0,1.5,260.0,Clouds,Clouds,broken clouds,,Clouds,56,56
20,2008,Bahrain,3,Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106,5466970,2008-04-06 11:30:00,2008-04-06,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,23.24,81.0,6.06,350.0,Clear,Clouds,broken clouds,,Clouds,57,57
21,2008,Spain,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,41.57,2.26111,5899051,2008-04-27 12:00:00,2008-04-27,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,19.68,69.0,5.1,140.0,Clouds,Clouds,broken clouds,,Clouds,66,66
22,2008,Turkey,5,Turkish Grand Prix,Istanbul Park,40.9517,29.405,5209451,2008-05-11 12:00:00,2008-05-11,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,16.71,50.0,3.11,341.0,Clouds,Clouds,scattered clouds,,Clouds,58,58
23,2008,Monaco,6,Monaco Grand Prix,Circuit de Monaco,43.7347,7.42056,7242742,2008-05-25 12:00:00,2008-05-25,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,18.08,75.0,7.2,60.0,Rain,Rain,light rain,,Rain,78,76
24,2008,Canada,7,Canadian Grand Prix,Circuit Gilles Villeneuve,45.5,-73.5228,5784227,2008-06-08 17:00:00,2008-06-08,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,28.59,0.0,7.2,240.0,Clear,Clear,clear sky,,Clear,70,70
25,2008,France,8,French Grand Prix,Circuit de Nevers Magny-Cours,46.8642,3.16361,5510245,2008-06-22 12:00:00,2008-06-22,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,27.41,75.0,4.1,150.0,Clouds,Clouds,broken clouds,,Rain,70,70
26,2008,England,9,British Grand Prix,Silverstone Circuit,52.0786,-1.01694,5949440,2008-07-06 12:00:00,2008-07-06,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,14.04,98.0,5.41,193.0,Rain,Rain,light rain,0.33,Clouds,60,60
27,2008,Germany,10,German Grand Prix,Hockenheimring,49.3278,8.56583,5480874,2008-07-20 12:00:00,2008-07-20,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,23.2,61.0,3.98,270.0,Clouds,Clouds,broken clouds,,Clouds,67,67
28,2008,Hungary,11,Hungarian Grand Prix,Hungaroring,47.5789,19.2486,5847067,2008-08-03 12:00:00,2008-08-03,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,28.51,40.0,3.1,340.0,Clouds,Clouds,scattered clouds,,Clouds,70,70
